name,price,rating,address,img-src
Miyako Hotel Los Angeles,225,8.6,"328 East 1st Street, Downtown Los Angeles, Los Angeles (CA), United States, 90012",//pix8.agoda.net/hotelImages/6795854/0/6bf7ca30dfe531319f4910d4e49c6925.jpg?ca=23&ce=0&s=1024x768
DoubleTree by Hilton Hotel Anaheim - Orange County,150,8.1,"100 The City Drive, Orange, Anaheim, Los Angeles (CA), United States, 92868",//pix8.agoda.net/hotelImages/1334/0/01e60b5de9a1206c5ebd333f8b6e3de7.jpg?ca=7&ce=1&s=1024x768
The Westin Bonaventure Hotel and Suites,399,8.3,"404 South Figueroa Street, Downtown Los Angeles, Los Angeles (CA), United States, 90071",//pix8.agoda.net/hotelImages/4879802/0/c0262963fc5a36e91accf1c45d5b11db.jpg?ca=23&ce=0&s=1024x768
Hotel Erwin,399,8.8,"1697 Pacific Avenue, Venice Beach, Los Angeles (CA), United States, 90291",//pix8.agoda.net/hotelImages/229/2291962/2291962_17071403170054449643.jpg?ca=6&ce=1&s=1024x768
citizenM Los Angeles Downtown,209,9.7,"361 South Spring Street, Downtown Los Angeles, Los Angeles (CA), United States, CA 90013",//q-xx.bstatic.com/xdata/images/hotel/840x460/352089258.jpg?k=45e95be03781ccb87319de0c7e776cd0bd848d244ebfb5ed92f28dca38238ac7&o=
Los Angeles Airport Marriott,179,8.3,"5855 West Century Boulevard, LAX ? Los Angeles International Airport, Los Angeles (CA), United States, 90045",//pix8.agoda.net/hotelImages/4874660/0/009a51a577a925669ae93aec2e6875d8.jpg?ca=27&ce=0&s=1024x768
O Hotel,169,7.9,"819 South Flower Street, Downtown Los Angeles, Los Angeles (CA), United States, 90017",//pix8.agoda.net/hotelImages/147300/0/918c4706034b817b942166dcb03b815c.jpg?ca=0&ce=1&s=1024x768
Best Western Hollywood Plaza Inn- Hollywood Walk of Fame Hotel- LA,275,7.6,"2011 North Highland Avenue, Hollywood, Los Angeles (CA), United States, 90068",//pix8.agoda.net/hotelImages/644/64454/64454_16060910100043315784.jpg?ca=6&ce=1&s=1024x768
E Central Hotel Downtown Los Angeles,244,8.3,"1020 South Figueroa Street, Downtown Los Angeles, Los Angeles (CA), United States, 90015",//pix8.agoda.net/hotelImages/6771272/0/270b82e2c4c812682e38c00ece304feb.jpg?ca=8&ce=1&s=1024x768
Huntley Santa Monica Beach,629,8.6,"1111 2nd Street, Santa Monica, Los Angeles (CA), United States, 90403",//pix8.agoda.net/hotelImages/4868428/0/b1f160688e8b7cdd724808d1db8f2916.jpg?ca=9&ce=1&s=1024x768
